"SpecimenCode","XID","CollectionCode","Site","Tree","Tray","DateCollected","Class","Order","Family","SpeciesCode","Genus","species","trophic","Origin","Stage","Lengthmm","Abundance","IND_BIOM"
"0010-010",46,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu10","Proterhinus","sp_10","D","endemic","adult",".",1,1.005
"0010-011",47,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu10","Proterhinus","sp_10","D","endemic","adult",".",1,1.005
"0010-012",48,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu10","Proterhinus","sp_10","D","endemic","adult",".",1,1.005
"0010-013",49,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0010-014",50,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protspu8","Proterhinus","sp_8","D","endemic","adult",".",1,0.302
"0010-015",51,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu13","Proterhinus","sp_13","D","endemic","adult",".",1,0.305
"0010-016",52,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0010-017",53,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0010-018",54,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protspu9","Proterhinus","sp_9","D","endemic","adult",".",1,0.26
"0011-001",55,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Nitidulidae","eupesulc","Eupetinus","sulcatus","D","endemic","adult",".",1,0.333
"0011-002",56,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Coleoptera","Nitidulidae","eupecurt","Eupetinus","curtus","D","endemic","adult",".",1,0.3522
"0012-001",57,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Miridae","saroadon","Sarona","adonias","H","endemic","adult","3",1,0.408
"0012-002",58,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","5",1,1.0403
"0012-002",58,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","5",1,1.0403
"0012-002",58,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","5",1,1.0403
"0012-003",59,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","4",1,0.6562
"0012-003",59,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Lygaeidae","nysinemo","Nysius","nemorivagus","H","endemic","adult","4",1,0.6562
"0012-007",60,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Miridae","saroadon","Sarona","adonias","H","endemic","immature","2",1,0.1594
"0012-008",61,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Heteroptera","Miridae","saroadon","Sarona","adonias","H","endemic","immature","3",1,0.408
"0013-001",62,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","2",1,0.1186
"0013-001",62,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","2",1,0.1186
"0013-002",63,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","3",1,0.3574
"0013-003",64,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","4",1,0.7817
"0013-004",65,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","5",1,1.4343
"0013-005",66,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","6",1,2.3551
"0013-005",66,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","6",1,2.3551
"0014-001",67,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Blattodea","Blattellidae","baltsimi","Balta","similis","D","adventive","immature","4",1,0.8236
"0014-002",68,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Lepidoptera","Geometridae","scotjsu7","Scotorythra","larval sp_7","H","endemic","immature","7",1,0.8407
"0014-003",69,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Lepidoptera","Geometridae","scotjsu7","Scotorythra","larval sp_7","H","endemic","immature","5",1,0.4697
"0014-004",70,"MO9700-3","MO",0,3,"10/22/1997","Malacostraca","Isopoda","Porcellionidae","porcscab","Porcellio","scaber","D","adventive","adult","4",1,0.7082
"0014-005",71,"MO9700-3","MO",0,3,"10/22/1997","Malacostraca","Amphipoda","Talitridae","platlani","Platorchestia","nr_lanipo","D","endemic","adult","4",1,0.3628
"0015-001",72,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Homoptera","Triozidae","triomolo","Trioza","molokaiensis","H","endemic","adult","4",1,0.7827
"0016-001",73,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Hymenoptera","Eupelmidae","eupemsu5","Eupelmus","sp_5","T","endemic","adult","2",1,0.0725
"0016-002",74,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Hymenoptera","Bethylidae","sierspuM","Sierola","sp_M","P","endemic","adult","2",1,0.0725
"0017-001",75,"MO9700-3","MO",0,3,"10/22/1997","Arachnida","Araneae","Tetragnathidae","tetrquas","Tetragnatha","quasimodo","P","endemic","immature","2",1,0.1971
"0018-001",76,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp2","Eurynogaster","n_sp_2","P","endemic","adult","3",1,0.2584
"0018-001",76,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp2","Eurynogaster","n_sp_2","P","endemic","adult","3",1,0.2584
"0018-001",76,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Dolichopodidae","eurynsp2","Eurynogaster","n_sp_2","P","endemic","adult","3",1,0.2584
"0018-002",77,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Ceratopogonidae","forchard","Forcipomyia","hardyi","D","endemic","adult","2",1,0.091
"0018-002",77,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Ceratopogonidae","forchard","Forcipomyia","hardyi","D","endemic","adult","2",1,0.091
"0018-002",77,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Ceratopogonidae","forchard","Forcipomyia","hardyi","D","endemic","adult","2",1,0.091
"0018-002",77,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Ceratopogonidae","forchard","Forcipomyia","hardyi","D","endemic","adult","2",1,0.091
"0018-003",78,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Sciaridae","ctenhawa","Ctenosciara","hawaiiensis","D","endemic","adult","2",1,0.091
"0018-004",79,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Psychodidae","trichawa","Trichomyia","hawaiiensis","U","endemic","adult","1",1,0.0153
"0018-005",80,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Drosophilidae","scapbrya","Scaptomyza","bryani","P","endemic","adult","2",1,0.091
"0018-006",81,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Drosophilidae","scapuniv","Scaptomyza","univitta","D","endemic","adult","2",1,0.091
"0018-006",81,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Drosophilidae","scapuniv","Scaptomyza","univitta","D","endemic","adult","2",1,0.091
"0018-007",82,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Diptera","Drosophilidae","scapseto","Scaptomyza","setosiscutellum","P","endemic","adult","2",1,0.0962
"0019-001",83,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Neuroptera","Chrysopidae","anommacl","Anomalochrysa","maclachlani","P","endemic","immature",".",1,0.4697
"0019-002",84,"MO9700-3","MO",0,3,"10/22/1997","Insecta","Collembola","Entomobryidae","entomauk","Entomobrya","mauka","D","endemic","adult","2",1,0.0396
"0020-001",85,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","adult","7",1,3.5818
"0020-001",85,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","adult","7",1,3.5818
"0020-002",86,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","2",1,0.1186
"0020-003",87,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","3",1,0.3574
"0020-003",87,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","3",1,0.3574
"0020-003",87,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","3",1,0.3574
"0020-003",87,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","3",1,0.3574
"0020-004",88,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","4",1,0.7817
"0020-004",88,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","4",1,0.7817
"0020-004",88,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","4",1,0.7817
"0020-005",89,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","trigatro","Trigonidium","atroferrugineum","D","endemic","immature","5",1,1.4343
"0020-006",90,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Orthoptera","Gryllidae","leptmolo","Leptogryllus","molokai","D","endemic","immature","3",1,0.3574
"0021-001",91,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Coccinellidae","halmchal","Halmus","chalybeus","P","intentional introduction","adult",".",1,2.034
"0021-002",92,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Curculionidae","oodepalu","Oodemas","paludicola","D","endemic","adult",".",1,1.224
"0021-003",93,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Curculionidae","oodepalu","Oodemas","paludicola","D","endemic","adult",".",1,1.224
"0021-004",94,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Curculionidae","oodepalu","Oodemas","paludicola","D","endemic","adult",".",1,1.224
"0021-005",95,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Coccinellidae","halmchal","Halmus","chalybeus","P","intentional introduction","immature","3",1,0.1941
"0021-005",95,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Coccinellidae","halmchal","Halmus","chalybeus","P","intentional introduction","immature","3",1,0.1941
"0021-006",96,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protspu9","Proterhinus","sp_9","D","endemic","adult",".",1,0.26
"0021-007",97,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0021-008",98,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0021-009",99,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protspu8","Proterhinus","sp_8","D","endemic","adult",".",1,0.302
"0021-010",100,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protspu8","Proterhinus","sp_8","D","endemic","adult",".",1,0.302
"0021-011",101,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0021-012",102,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu13","Proterhinus","sp_13","D","endemic","adult",".",1,0.305
"0021-013",103,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protspu9","Proterhinus","sp_9","D","endemic","adult",".",1,0.26
"0021-014",104,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protsu11","Proterhinus","sp_11","D","endemic","adult",".",1,0.584
"0021-015",105,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Aglycyderidae","protspu8","Proterhinus","sp_8","D","endemic","adult",".",1,0.302
"0022-001",106,"MO9700-2","MO",0,2,"10/22/1997","Arachnida","Araneae","Araneidae","aranemma","Araneus","emmae","P","endemic","immature","3",1,0.8256
"0022-002",107,"MO9700-2","MO",0,2,"10/22/1997","Arachnida","Araneae","Philodromidae","pagiatom","Pagiopalus","atomarius","P","endemic","immature","3",1,0.8256
"0022-003",108,"MO9700-2","MO",0,2,"10/22/1997","Arachnida","Araneae","Tetragnathidae","tetracut","Tetragnatha","acuta","P","endemic","immature","1",1,0.0433
"0022-004",109,"MO9700-2","MO",0,2,"10/22/1997","Arachnida","Araneae","Tetragnathidae","tetracut","Tetragnatha","acuta","P","endemic","immature","2",1,0.1971
"0022-005",110,"MO9700-2","MO",0,2,"10/22/1997","Arachnida","Araneae","Tetragnathidae","tetrquas","Tetragnatha","quasimodo","P","endemic","immature","3",1,0.5227
"0022-006",111,"MO9700-2","MO",0,2,"10/22/1997","Arachnida","Araneae","Tetragnathidae","tetrquas","Tetragnatha","quasimodo","P","endemic","immature","4",1,1.0444
"0023-001",112,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blactric","Blackburnia","tricolor","P","endemic","adult",".",1,3.367
"0023-002",113,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacchel","Blackburnia","cheloniceps","P","endemic","adult",".",1,4.748
"0023-003",114,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blaclong","Blackburnia","longipes","P","endemic","adult",".",1,6.539
"0023-004",115,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacchel","Blackburnia","cheloniceps","P","endemic","adult",".",1,4.748
"0023-005",116,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blaclong","Blackburnia","longipes","P","endemic","adult",".",1,6.539
"0023-006",117,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-007",118,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-008",119,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-009",120,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacchel","Blackburnia","cheloniceps","P","endemic","adult",".",1,4.748
"0023-010",121,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacabax","Blackburnia","abax","P","endemic","adult",".",1,2.473
"0023-011",122,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-012",123,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-013",124,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-014",125,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-015",126,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacchel","Blackburnia","cheloniceps","P","endemic","adult",".",1,4.748
"0023-016",127,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-017",128,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","mecyocul","Mecyclothorax","oculatus","P","endemic","adult",".",1,1.649
"0023-018",129,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-019",130,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-020",131,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacfrau","Blackburnia","fraudator","P","endemic","adult",".",1,3.088
"0023-021",132,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blactric","Blackburnia","tricolor","P","endemic","adult",".",1,3.367
"0023-022",133,"MO9700-2","MO",0,2,"10/22/1997","Insecta","Coleoptera","Carabidae","blacchel","Blackburnia","cheloniceps","P","endemic","adult",".",1,4.748
